"<b>Please note:</b> For safety reasons, we recommend testing the import on a staging system first. Make sure to back up all your data before importing.","<b>Please note:</b> For safety reasons, we recommend testing the import on a staging system first. Make sure to back up all your data before importing."
"<b>Select all [...] without existing translation:</b> The plugin will automatically select all products, categories, CMS pages and email templates for which no translated text exists in the target language.","<b>Select all [...] without existing translation:</b> The plugin will automatically select all products, categories, CMS pages and email templates for which no translated text exists in the target language."
"<i><span style='color:red;'>Important:</span> All previous assignments will be deleted!</i>","<i><span style='color:red;'>Important:</span> All previous assignments will be deleted!</i>"
"<i><span style='color:red;'>Important:</span> We recommend using this setting only for the initial translation of a new online shop, as it will trigger a translation of ALL language files for the selected target language!</i>","<i><span style='color:red;'>Important:</span> We recommend using this setting only for the initial translation of a new online shop, as it will trigger a translation of ALL language files for the selected target language!</i>"
"Actions","Actions"
"Active","Active"
"Added %s files to the import queue.","Added %s files to the import queue."
"Attributes and attribute options","Attributes and attribute options"
"Back","Back"
"Batch %s / %s Categories:","Batch %s / %s Categories:"
"Batch %s / %s CMS Blocks:","Batch %s / %s CMS Blocks:"
"Batch %s / %s CMS Pages:","Batch %s / %s CMS Pages:"
"Batch %s / %s CSV File: %s","Batch %s / %s CSV File: %s"
"Batch %s / %s Products:","Batch %s / %s Products:"
"Catalog URL key scope","Catalog URL key scope"
"Categories per file","Categories per file"
"Categories","Categories"
"Change URL key scope","Change URL key scope"
"City","City"
"Click here to change the scope of URL keys to enable translation of URL keys for products and categories. (Attention: This cannot be undone!)","Click here to change the scope of URL keys to enable translation of URL keys for products and categories. (Attention: This cannot be undone!)"
"Clicking <b>Select all entries in language files without existing translations</b> will automatically select all files and check for missing translations. All entries without an existing translation will be exported.","Clicking <b>Select all entries in language files without existing translations</b> will automatically select all files and check for missing translations. All entries without an existing translation will be exported."
"Clicking <b>Select language files</b> will allow you to manually select specific shop system texts in the selection window for translation.","Clicking <b>Select language files</b> will allow you to manually select specific shop system texts in the selection window for translation."
"Clicking the button <b>Request free quotation now</b> will transmit your texts for translation to the translation portal, and you will receive a detailed quote for your translation project within the next 24 hours (weekdays).","Clicking the button <b>Request free quotation now</b> will transmit your texts for translation to the translation portal, and you will receive a detailed quote for your translation project within the next 24 hours (weekdays)."
"CMS Blocks","CMS Blocks"
"CMS Pages and Blocks","CMS Pages and Blocks"
"CMS Pages per file","CMS Pages per file"
"CMS Pages","CMS Pages"
"Comment","Comment"
"Company","Company"
"Connection credentials","Connection credentials"
"Contact data","Contact data"
"Contact","Contact"
"Country","Country"
"Create a new project for each translation order.","Create a new project for each translation order."
"Currently your Magento installation is not capable to save translated URL keys for products and categories.","Currently your Magento installation is not capable to save translated URL keys for products and categories."
"Customer ID","Customer ID"
"Data sent.","Data sent."
"Directory ""%s"" is not writeable.","Directory ""%s"" is not writeable."
"Directory ""%s"" is writeable.","Directory ""%s"" is writeable."
"Directory permissions","Directory permissions"
"Do you really want to delete this project?","Do you really want to delete this project?"
"Do you really want to reset this project?","Do you really want to reset this project?"
"Each project must have a name assigned (we recommend something unique and distinguishable).","Each project must have a name assigned (we recommend something unique and distinguishable)."
"Email Address","Email Address"
"Email Templates","Email Templates"
"Eurotext AG translationMANAGER: Debug mode enabled!","Eurotext AG translationMANAGER: Debug mode enabled!"
"Eurotext AG translationMANAGER: FTP Upload disabled!","Eurotext AG translationMANAGER: FTP Upload disabled!"
"Eurotext AG translationMANAGER","Eurotext AG translationMANAGER"
"Export done.","Export done."
"Export to Eurotext AG","Export to Eurotext AG"
"Export","Export"
"Exported %s Email Templates","Exported %s Email Templates"
"Exported attributes.","Exported attributes."
"Exported categories.","Exported categories."
"Exported CMS Blocks.","Exported CMS Blocks."
"Exported CMS Pages.","Exported CMS Pages."
"Exported data","Exported data"
"Exported language files.","Exported language files."
"Exported products.","Exported products."
"Exported","Exported"
"File %s processed of %s.","File %s processed of %s."
"First name","First name"
