"…","…"
"Browse Files…","Browse Files…"
"Complete","Complete"
"Maximum allowed file size for upload is","Maximum allowed file size for upload is"
"Please check your server PHP settings.","Please check your server PHP settings."
"Remove","Remove"
"There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to proceed?","There are files that were selected but not uploaded yet. After switching to another tab your selections will be lost. Do you wish to proceed?"
"untranslated_string","untranslated_string"
"Upload file","Upload file"
"Uploading …","Uploading …"
